ticker,name,sector,yfinance,alpha_vantage,polygon,fmp,finnhub,sec_edgar,ir_rss
AAPL,Apple Inc.,Technology,not_used,used,used,not_used,used,used,used
CAT,Caterpillar Inc.,Industrials,not_used,not_used,used,not_used,used,used,not_used
XOM,Exxon Mobil Corporation,Energy,not_used,used,used,not_used,used,used,not_used
AMD,"Advanced Micro Devices, Inc.",Technology,not_used,not_used,used,not_used,used,used,not_used
KO,The Coca-Cola Company,Consumer Staples,not_used,used,used,not_used,used,used,not_used
T,AT&T Inc.,Communication Services,not_used,used,used,not_used,used,used,not_used
IONQ,"IonQ, Inc.",Technology,not_used,used,used,not_used,used,used,not_used
OXY,Occidental Petroleum Corporation,Energy,not_used,used,used,not_used,used,used,not_used
ORA,"Ormat Technologies, Inc.",Utilities,not_used,used,used,not_used,used,used,not_used
SPIR,"Spire Global, Inc.",Technology,not_used,not_used,used,not_used,used,used,not_used
PLUG,Plug Power Inc.,Industrials,not_used,used,used,not_used,used,used,not_used
RKLB,"Rocket Lab USA, Inc.",Industrials,used,used,used,throttled,used,not_used,not_used
PL,Planet Labs PBC,Technology,used,used,used,throttled,used,not_used,not_used
