date,ticker,price,daily_change,market_cap,trailing_pe,eps,52w_high,52w_low,open,high,low,close,volume
2025-10-13,AAPL,247.19 USD,N/A,N/A,N/A,N/A,N/A,N/A,248.91,249.21,245.09,247.19,38.14M
2025-10-13,AMD,216.42 USD,N/A,N/A,N/A,N/A,N/A,N/A,220.20,224.19,214.90,216.42,63.10M
2025-10-13,CAT,502.14 USD,N/A,N/A,N/A,N/A,N/A,N/A,499.54,503.75,492.88,502.14,2.62M
2025-10-13,IONQ,82.09 USD,N/A,N/A,N/A,N/A,N/A,N/A,74.11,84.64,72.80,82.09,49.46M
2025-10-13,KO,65.88 USD,N/A,N/A,N/A,N/A,N/A,N/A,65.32,65.88,65.09,65.88,13.69M
2025-10-13,ORA,107.05 USD,N/A,N/A,N/A,N/A,N/A,N/A,105.27,107.07,105.27,107.05,"529,300"
2025-10-13,OXY,41.98 USD,N/A,N/A,N/A,N/A,N/A,N/A,42.42,42.42,41.69,41.98,8.52M
2025-10-13,PLUG,3.90 USD,N/A,N/A,N/A,N/A,N/A,N/A,3.67,4.07,3.66,3.90,190.07M
2025-10-13,SPIR,12.78 USD,N/A,N/A,N/A,N/A,N/A,N/A,12.46,12.99,12.46,12.78,"357,600"
2025-10-13,T,25.03 USD,N/A,N/A,N/A,N/A,N/A,N/A,25.12,25.29,24.80,25.03,36.31M
2025-10-13,XOM,110.53 USD,N/A,N/A,N/A,N/A,N/A,N/A,109.84,110.59,109.62,110.53,10.30M
2025-10-14,AAPL,247.30 USD,N/A,N/A,N/A,N/A,N/A,N/A,246.13,248.38,244.23,247.30,35.48M
2025-10-14,AMD,218.09 USD,N/A,N/A,N/A,N/A,N/A,N/A,219.20,224.98,215.90,218.09,71.22M
2025-10-14,CAT,524.73 USD,N/A,N/A,N/A,N/A,N/A,N/A,497.98,528.80,496.42,524.73,5.46M
2025-10-14,IONQ,77.55 USD,N/A,N/A,N/A,N/A,N/A,N/A,79.85,81.08,75.92,77.55,34.46M
2025-10-14,KO,66.58 USD,N/A,N/A,N/A,N/A,N/A,N/A,65.95,66.64,65.83,66.58,14.25M
2025-10-14,ORA,107.99 USD,N/A,N/A,N/A,N/A,N/A,N/A,106.28,108.86,105.08,107.99,"515,600"
2025-10-14,OXY,41.84 USD,N/A,N/A,N/A,N/A,N/A,N/A,41.50,42.08,41.09,41.84,9.01M
2025-10-14,PLUG,4.05 USD,N/A,N/A,N/A,N/A,N/A,N/A,3.71,4.18,3.58,4.05,198.22M
2025-10-14,SPIR,13.24 USD,N/A,N/A,N/A,N/A,N/A,N/A,12.15,13.63,11.66,13.24,"549,900"
2025-10-14,T,25.56 USD,N/A,N/A,N/A,N/A,N/A,N/A,25.02,25.58,25.02,25.56,43.64M
2025-10-14,XOM,110.58 USD,N/A,N/A,N/A,N/A,N/A,N/A,109.07,111.24,109.02,110.58,11.17M
2025-10-15,AAPL,248.87 USD,N/A,N/A,N/A,N/A,N/A,N/A,249.02,251.34,247.00,248.87,33.89M
2025-10-15,AMD,238.60 USD,N/A,N/A,N/A,N/A,N/A,N/A,222.71,239.24,220.76,238.60,108.48M
2025-10-15,CAT,531.28 USD,N/A,N/A,N/A,N/A,N/A,N/A,531.43,535.65,524.47,531.28,3.45M
2025-10-15,IONQ,72.41 USD,N/A,N/A,N/A,N/A,N/A,N/A,79.94,80.23,70.80,72.41,31.35M
2025-10-15,KO,66.16 USD,N/A,N/A,N/A,N/A,N/A,N/A,66.34,66.79,66.00,66.16,11.19M
2025-10-15,ORA,108.97 USD,N/A,N/A,N/A,N/A,N/A,N/A,108.90,109.67,107.55,108.97,"820,400"
2025-10-15,OXY,41.44 USD,N/A,N/A,N/A,N/A,N/A,N/A,42.05,42.12,41.20,41.44,8.30M
2025-10-15,PLUG,3.85 USD,N/A,N/A,N/A,N/A,N/A,N/A,4.17,4.25,3.64,3.85,184.86M
2025-10-15,SPIR,13.68 USD,N/A,N/A,N/A,N/A,N/A,N/A,13.44,13.73,13.22,13.68,"341,400"
2025-10-15,T,25.50 USD,N/A,N/A,N/A,N/A,N/A,N/A,25.48,25.62,25.37,25.50,34.67M
2025-10-15,XOM,109.91 USD,N/A,N/A,N/A,N/A,N/A,N/A,111.08,111.84,109.28,109.91,12.18M
2025-10-16,AAPL,246.98 USD,N/A,N/A,N/A,N/A,N/A,N/A,247.78,248.57,244.66,246.98,39.78M
2025-10-16,AMD,234.56 USD,N/A,N/A,N/A,N/A,N/A,N/A,236.29,241.20,232.24,234.56,69.73M
2025-10-16,CAT,538.15 USD,N/A,N/A,N/A,N/A,N/A,N/A,535.27,542.16,531.92,538.15,3.46M
2025-10-16,IONQ,65.59 USD,N/A,N/A,N/A,N/A,N/A,N/A,73.87,73.87,65.50,65.59,35.99M
2025-10-16,KO,66.66 USD,N/A,N/A,N/A,N/A,N/A,N/A,66.26,67.17,66.24,66.66,15.71M
2025-10-16,ORA,110.20 USD,N/A,N/A,N/A,N/A,N/A,N/A,109.64,110.84,108.84,110.20,"745,400"
2025-10-16,OXY,40.61 USD,N/A,N/A,N/A,N/A,N/A,N/A,41.55,41.65,40.09,40.61,10.74M
2025-10-16,PL,13.23 USD,N/A,N/A,N/A,N/A,N/A,N/A,15.47,15.56,13.12,13.23,18.61M
2025-10-16,PLUG,3.48 USD,N/A,N/A,N/A,N/A,N/A,N/A,3.87,4.25,3.46,3.48,187.45M
2025-10-16,RKLB,67.00 USD,N/A,N/A,N/A,N/A,N/A,N/A,70.07,72.25,66.43,67.00,23.84M
2025-10-16,SPIR,11.97 USD,N/A,N/A,N/A,N/A,N/A,N/A,13.60,13.65,11.97,11.97,"455,600"
2025-10-16,T,25.63 USD,N/A,N/A,N/A,N/A,N/A,N/A,25.53,25.81,25.48,25.63,49.51M
2025-10-16,XOM,108.95 USD,N/A,N/A,N/A,N/A,N/A,N/A,110.18,110.48,108.71,108.95,11.78M
2025-10-17,AAPL,251.81 USD,N/A,N/A,N/A,N/A,N/A,N/A,247.55,252.90,246.80,251.81,49.15M
2025-10-17,AMD,233.08 USD,N/A,N/A,N/A,N/A,N/A,N/A,233.26,235.38,227.91,233.08,55.80M
2025-10-17,CAT,524.34 USD,N/A,N/A,N/A,N/A,N/A,N/A,534.59,539.39,524.23,524.34,2.81M
2025-10-17,IONQ,62.94 USD,N/A,N/A,N/A,N/A,N/A,N/A,65.40,65.72,61.21,62.94,33.42M
2025-10-17,KO,67.50 USD,N/A,N/A,N/A,N/A,N/A,N/A,67.06,67.56,66.87,67.50,15.54M
2025-10-17,ORA,108.45 USD,N/A,N/A,N/A,N/A,N/A,N/A,109.00,110.79,107.97,108.45,1.03M
2025-10-17,OXY,40.47 USD,N/A,N/A,N/A,N/A,N/A,N/A,40.37,40.64,40.10,40.47,9.54M
2025-10-17,PL,13.11 USD,N/A,N/A,N/A,N/A,N/A,N/A,13.00,13.58,12.57,13.11,13.60M
2025-10-17,PLUG,3.40 USD,N/A,N/A,N/A,N/A,N/A,N/A,3.45,3.59,3.37,3.40,105.28M
2025-10-17,RKLB,66.27 USD,N/A,N/A,N/A,N/A,N/A,N/A,65.89,68.50,63.70,66.27,16.89M
2025-10-17,SPIR,11.91 USD,N/A,N/A,N/A,N/A,N/A,N/A,11.86,12.02,11.47,11.91,"532,700"
2025-10-17,T,25.77 USD,N/A,N/A,N/A,N/A,N/A,N/A,25.81,25.90,25.63,25.77,61.49M
2025-10-17,XOM,110.53 USD,N/A,N/A,N/A,N/A,N/A,N/A,109.93,111.19,109.49,110.53,13.46M
2025-10-20,AAPL,261.74 USD,N/A,N/A,N/A,N/A,N/A,N/A,255.40,263.88,255.14,261.74,90.48M
2025-10-20,AMD,240.56 USD,N/A,N/A,N/A,N/A,N/A,N/A,236.47,242.88,234.40,240.56,56.74M
2025-10-20,CAT,529.94 USD,N/A,N/A,N/A,N/A,N/A,N/A,528.32,532.95,525.71,529.94,2.17M
2025-10-20,IONQ,59.94 USD,N/A,N/A,N/A,N/A,N/A,N/A,65.31,65.50,58.69,59.94,28.52M
2025-10-20,KO,67.50 USD,N/A,N/A,N/A,N/A,N/A,N/A,67.49,67.70,66.99,67.50,17.79M
2025-10-20,ORA,109.61 USD,N/A,N/A,N/A,N/A,N/A,N/A,109.11,109.79,108.77,109.61,"499,600"
2025-10-20,OXY,40.60 USD,N/A,N/A,N/A,N/A,N/A,N/A,40.53,41.03,40.41,40.60,8.81M
2025-10-20,PL,13.56 USD,N/A,N/A,N/A,N/A,N/A,N/A,14.02,14.41,13.50,13.56,9.70M
2025-10-20,PLUG,3.40 USD,N/A,N/A,N/A,N/A,N/A,N/A,3.64,3.65,3.35,3.40,112.44M
2025-10-20,RKLB,67.35 USD,N/A,N/A,N/A,N/A,N/A,N/A,69.14,72.18,66.68,67.35,25.84M
2025-10-20,SPIR,12.19 USD,N/A,N/A,N/A,N/A,N/A,N/A,12.14,12.64,12.02,12.19,"345,300"
2025-10-20,T,25.53 USD,N/A,N/A,N/A,N/A,N/A,N/A,25.77,25.86,25.27,25.53,66.16M
2025-10-20,XOM,110.98 USD,N/A,N/A,N/A,N/A,N/A,N/A,110.29,111.43,110.27,110.98,9.52M
