ticker,name,sector,yfinance,alpha_vantage,polygon,fmp,finnhub,sec_edgar,ir_rss
AAPL,Apple Inc.,Technology,used,used,used,used,used,used,used
CAT,Caterpillar Inc.,Industrials,used,used,used,used,used,used,not_used
XOM,Exxon Mobil Corporation,Energy,used,used,used,used,used,used,not_used
AMD,"Advanced Micro Devices, Inc.",Technology,used,used,used,used,used,used,not_used
KO,The Coca-Cola Company,Consumer Staples,used,used,used,used,used,used,not_used
T,AT&T Inc.,Communication Services,used,used,used,used,used,used,not_used
IONQ,"IonQ, Inc.",Technology,used,used,used,used,used,used,not_used
OXY,Occidental Petroleum Corporation,Energy,used,used,used,used,used,used,not_used
ORA,"Ormat Technologies, Inc.",Utilities,used,used,used,used,used,used,not_used
SPIR,"Spire Global, Inc.",Technology,used,used,used,used,used,used,not_used
PLUG,Plug Power Inc.,Industrials,used,used,used,used,used,used,not_used
